epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8964,1.14277,2.86682,1.44845,0.00329,1,0.74625,0.46596,0.35841,3.51678,1.15456,1.667e-05,1.667e-05,1.667e-05
2,65.6926,1.10537,2.90076,1.53658,0.0033,1,0.66333,0.41621,0.39338,3.50321,1.15164,4.83597e-05,4.83597e-05,4.83597e-05
3,85.62,1.16877,3.00407,1.59855,0.00338,1,0.74625,0.50553,0.46296,3.51969,1.22703,7.78489e-05,7.78489e-05,7.78489e-05
4,105.346,0.9684,2.80657,1.4512,0.00345,1,0.74625,0.53041,0.50009,3.50861,1.2714,0.000105138,0.000105138,0.000105138
5,124.707,1.05688,2.54877,1.44848,0.0036,1,0.74625,0.53438,0.52489,3.4687,1.36488,0.000130226,0.000130226,0.000130226
6,144.08,0.95639,2.4749,1.44592,0.00357,1,0.74625,0.45716,0.5438,3.50396,1.45715,0.000153114,0.000153114,0.000153114
7,162.829,1.08133,2.37434,1.34699,0.00338,1,0.66292,0.40574,0.61806,3.52325,1.5475,0.000173801,0.000173801,0.000173801
8,184.753,1.07232,2.20681,1.48298,0.00331,1,0.53833,0.40569,0.72154,3.48188,1.63067,0.000192288,0.000192288,0.000192288
9,208.767,0.93131,1.89342,1.3233,0.00329,1,0.53833,0.36536,0.82692,3.4787,1.70186,0.000208575,0.000208575,0.000208575
10,231.191,1.01339,1.98906,1.39575,0.00328,1,0.66292,0.44908,0.83553,3.47693,1.71922,0.000222661,0.000222661,0.000222661
11,263.018,0.97721,2.0808,1.57969,0.00328,1,0.53833,0.3777,0.81484,3.47745,1.76279,0.000234547,0.000234547,0.000234547
12,283.92,0.9217,1.80053,1.2794,0.00331,1,0.55181,0.38329,0.90079,3.46063,1.80587,0.000244232,0.000244232,0.000244232
13,318.821,0.83529,2.03395,1.41584,0.00332,1,0.87,0.4106,1.00477,3.4765,1.98197,0.000251717,0.000251717,0.000251717
14,356.454,1.00334,2.74284,1.66429,0.00335,1,0.74625,0.31225,0.97649,3.47184,2.00048,0.000257001,0.000257001,0.000257001
15,401.981,0.82024,1.60551,1.24766,0.00342,1,0.6965,0.46184,0.97692,3.46473,2.02439,0.000260085,0.000260085,0.000260085
16,443.587,0.94388,1.71311,1.30179,0.00345,1,0.82917,0.50018,1.15589,3.51913,2.16657,0.000260969,0.000260969,0.000260969
17,483.823,0.91911,1.52904,1.29274,0.00343,1,0.66292,0.36464,1.04539,3.46026,2.01841,0.000259652,0.000259652,0.000259652
18,528.495,0.88052,1.60953,1.27918,0.00344,1,0.59625,0.3857,1.01892,3.33967,2.0024,0.000256135,0.000256135,0.000256135
19,573.514,0.91835,1.75276,1.28066,0.00344,1,0.57958,0.41535,1.00951,3.43865,1.94153,0.000250417,0.000250417,0.000250417
20,603.14,0.67702,1.32513,1.1524,0.00345,1,0.87,0.66129,1.08269,3.28014,2.18695,0.000242498,0.000242498,0.000242498
21,630.792,0.64911,2.14854,1.24381,0.00347,1,0.995,0.70461,1.09387,3.28472,2.15843,0.00023238,0.00023238,0.00023238
22,656.707,0.69913,1.94088,1.28473,0.18934,1,0.995,0.67452,1.08336,3.2148,2.1338,0.000220061,0.000220061,0.000220061
23,679.04,0.78776,2.08121,1.4381,0.62893,1,0.995,0.63786,1.04109,3.24795,2.34674,0.000205541,0.000205541,0.000205541
24,701.94,0.59575,1.86882,1.15558,0.65237,0.87499,0.995,0.60736,1.14246,3.18233,2.57116,0.000188821,0.000188821,0.000188821
25,722.844,0.69325,1.67723,1.23173,0.65459,0.90434,0.995,0.52672,1.22857,3.06821,2.49496,0.000169901,0.000169901,0.000169901
26,743.182,0.59508,1.77786,1.20852,0.66114,0.77486,0.995,0.55539,0.95133,3.10939,2.36462,0.00014878,0.00014878,0.00014878
27,763.669,0.67216,1.70682,1.25423,0.73367,0.5,0.995,0.54971,0.97528,3.11095,2.30247,0.000125458,0.000125458,0.000125458
28,786.147,0.61705,1.78743,1.20955,0.73367,0.5,0.995,0.54971,0.97528,3.11095,2.30247,9.99366e-05,9.99366e-05,9.99366e-05
29,808.592,0.66352,1.52382,1.2217,0.70041,0.5,0.995,0.54971,0.95186,2.96683,2.27366,7.22144e-05,7.22144e-05,7.22144e-05
30,833.548,0.63484,1.68496,1.33447,0.66341,1,0.995,0.6025,0.93703,2.94961,2.2576,4.22918e-05,4.22918e-05,4.22918e-05
