object,confidence,x_min,y_min,x_max,y_max
car,0.9031104445457458,0.2184402495622635,1675.5152587890625,817.5989990234375,2050.61181640625
motorcycle,0.8171573281288147,498.1242980957031,1772.143798828125,1081.06591796875,2170.323486328125
person,0.7925692796707153,670.8018188476562,1637.419921875,970.134521484375,2088.4736328125
car,0.6906634569168091,3118.681396484375,1445.8026123046875,3262.156982421875,1813.3515625
person,0.4602678418159485,3068.828369140625,1102.62646484375,3192.425048828125,1277.39453125
car,0.39331328868865967,1339.6585693359375,1489.4835205078125,2242.74560546875,2045.5404052734375
truck,0.38795140385627747,1338.0162353515625,1488.267578125,2244.391357421875,2043.7987060546875
person,0.30271396040916443,3037.800048828125,1036.2943115234375,3135.99072265625,1171.22705078125
person,0.2883261740207672,2886.09326171875,1084.11279296875,2979.754638671875,1304.1544189453125
person,0.2758275270462036,3119.470458984375,1039.6536865234375,3239.510986328125,1273.8751220703125
