object,confidence,x_min,y_min,x_max,y_max
keyboard,0.9467626810073853,676.5106811523438,2120.66455078125,3650.427490234375,2838.15087890625
tv,0.8670089244842529,493.7460021972656,437.0888366699219,1898.5404052734375,1674.9739990234375
laptop,0.8159209489822388,1386.6002197265625,840.7276000976562,3076.120361328125,1915.5784912109375
keyboard,0.4494549334049225,1518.0660400390625,1581.337646484375,3067.54638671875,1839.1773681640625
book,0.4016159176826477,2710.63671875,1317.244384765625,3658.92529296875,1467.0401611328125
book,0.36811748147010803,2960.8740234375,1813.64306640625,4076.35546875,2258.286376953125
book,0.3539426028728485,2742.809814453125,1127.6087646484375,3665.719482421875,1322.107421875
book,0.3373725414276123,1.7090691328048706,1782.5921630859375,639.052001953125,2080.57373046875
book,0.2885960042476654,1046.2581787109375,186.727294921875,2094.025146484375,334.8688659667969
book,0.2877751886844635,2709.103759765625,1367.10400390625,3652.403564453125,1540.1795654296875
